brand,model,firmware,controller,compatLevel,notes
Generic (Chinese),CNC 3040T (4-axis),mach,Mach3 (USB/parallel),cam,Most 3040T 4-axis machines use Mach3. CAM Only.
Generic (Chinese),CNC 3040Z (3-axis),mach,Mach3,cam,Mach3 control. CAM Only.
Generic (Chinese),CNC 6040 (3-axis; USB),mach,Mach3 (USB adapter),cam,Mach3 USB. CAM Only.
Generic (Chinese),CNC 6040 (4-axis),mach,Mach3,cam,Mach3 control. CAM Only.
Generic (Chinese),CNC 6090 (3-axis),mach,Mach3 or DSP,cam,Usually Mach3 or DSP. CAM Only if Mach3. Not compatible if DSP.
Generic (Chinese),CNC 6090 (4-axis; 2.2kW),mach,Mach3,cam,Mach3 control. CAM Only.
Generic (Chinese),CNC 3020T,mach,Mach3 (parallel),cam,Older Mach3 parallel port design. CAM Only.
Generic (Chinese),CNC 1325 (4x8 industrial),other_builtin,DSP / NC Studio / Weihong,unlikely,Chinese industrial 4x8 machines typically use NC Studio or DSP. Not compatible.
Generic (Chinese),CNC 1530 (5x10 industrial),other_builtin,DSP / NC Studio,unlikely,Industrial DSP controller. Not compatible.
Makera,Carvera,grbl,GRBL-based (custom),full,GRBL-based with auto tool change. Full compatibility.
Makera,Carvera Air,grbl,GRBL-based (custom),full,Compact GRBL-based CNC. Full compatibility.
SainSmart,Genmitsu 3018-PROVer Mach3,grbl,GRBL (Mach3 compatible GCode),full,Despite name; this is GRBL-controlled. Full compatibility.
Preenex,CNC 3018 PRO,grbl,GRBL,full,GRBL firmware. Full compatibility.
Preenex,CNC 3018,grbl,GRBL,full,GRBL firmware. Full compatibility.
TOPQSC,CNC 3018 PRO,grbl,GRBL,full,GRBL firmware. Full compatibility.
Newker,CNC 3040 (GRBL version),grbl,GRBL,full,GRBL version of 3040. Full compatibility.
Newker,CNC 3040 (Mach3 version),mach,Mach3,cam,Mach3 version. CAM Only.
Generic (AliExpress),CNC 3018 with Woodpecker board,grbl,GRBL (Woodpecker 3.4),full,Woodpecker boards run GRBL. Full compatibility.
Generic (AliExpress),CNC 3018 PRO with offline controller,grbl,GRBL,full,GRBL firmware. Full compatibility.
Generic (AliExpress),CNC 2418 PRO,grbl,GRBL,full,GRBL firmware. Full compatibility.
Generic (AliExpress),CNC 1610 PRO,grbl,GRBL,full,GRBL firmware. Full compatibility.
Generic (AliExpress),CNC 5040 (GRBL version),grbl,GRBL,full,GRBL version. Full compatibility.
Generic (AliExpress),CNC 4030 (GRBL version),grbl,GRBL,full,GRBL version. Full compatibility.
Generic (AliExpress),Mini CNC 1208,grbl,GRBL,full,Small GRBL machine. Full compatibility.
Generic (AliExpress),Mini CNC 2417,grbl,GRBL,full,Small GRBL machine. Full compatibility.
Various (AliExpress),CNC with ESP32 FluidNC board,fluidnc,FluidNC (ESP32),full,FluidNC is fully supported. Full compatibility.
Various (AliExpress),CNC with MKS DLC32 board,grbl,GRBL (ESP32-based),full,GRBL on ESP32. Full compatibility.
Various (AliExpress),CNC with CNC Shield V3 + Arduino Uno,grbl,GRBL,full,Standard GRBL setup. Full compatibility.
Various (AliExpress),CNC with CNC Shield V4 + Nano,grbl,GRBL,full,Standard GRBL setup. Full compatibility.
Zhong Hua Jiang,CNC 6040 (air-cooled spindle),mach,Mach3,cam,Mach3 control. CAM Only.
Zhong Hua Jiang,CNC 6090 (water-cooled 2.2kW),mach,Mach3,cam,Mach3 control. CAM Only.
Two Trees,TTC 3018 Pro Max,grbl,GRBL,full,GRBL firmware. Full compatibility.
Two Trees,TTC 4040,grbl,GRBL,full,GRBL firmware. Full compatibility.
Generic (Amazon),CNC 4040 PRO (500W; steel frame),grbl,GRBL,full,GRBL with steel HSS frame. Full compatibility.
Generic (Amazon),CNC 4040 PRO (100W desktop),grbl,GRBL (USB),full,GRBL firmware. Full compatibility.
Generic (Amazon),CNC 3018 (any brand; GRBL),grbl,GRBL,full,Nearly all 3018 machines sold on Amazon/AliExpress use GRBL. Full compatibility.
Generic (Amazon),CNC 1610 (any brand; GRBL),grbl,GRBL,full,Nearly all 1610 machines use GRBL. Full compatibility.
Generic (Amazon),CNC 2418 (any brand; GRBL),grbl,GRBL,full,Nearly all 2418 machines use GRBL. Full compatibility.
SainSmart,Genmitsu CNC 3018 (Carveco Maker bundle),grbl,GRBL (with Carveco Maker CAM),full,GRBL firmware with bundled Carveco CAM software. Full compatibility.
Ortur,Aufero CNC (Laser Frame 2),grbl,GRBL,full,GRBL firmware. Full compatibility in CNC mode.
Totem,CNC 3018 S1,grbl,GRBL,full,GRBL firmware. Full compatibility.
Sovol,SO-3,grbl,GRBL-based,full,GRBL-based. Full compatibility.
Longer,CNC Router Kit,grbl,GRBL,full,GRBL firmware. Full compatibility.
CRONOS,CNC 3018 PRO,grbl,GRBL,full,GRBL firmware. Full compatibility.
CRONOS,CNC 3040,grbl,GRBL,full,GRBL version. Full compatibility.
YOFULY,CNC 3018 PRO MAX,grbl,GRBL,full,GRBL firmware. Full compatibility.
YOFULY,CNC 3018 PRO,grbl,GRBL,full,GRBL firmware. Full compatibility.
SainSmart,Genmitsu CNC 3018 (Original),grbl,GRBL,full,Original 3018 with GRBL. Full compatibility.
